"Step","clmux/_clmux-newyork__sac_continuous_action__1__1727035402 - global_step","clmux/_clmux-newyork__sac_continuous_action__1__1727035402 - global_step__MIN","clmux/_clmux-newyork__sac_continuous_action__1__1727035402 - global_step__MAX","clmux/_clmux-beijing__sac_continuous_action__1__1727035402 - global_step","clmux/_clmux-beijing__sac_continuous_action__1__1727035402 - global_step__MIN","clmux/_clmux-beijing__sac_continuous_action__1__1727035402 - global_step__MAX","clmux/_clmux-hongkong__sac_continuous_action__1__1727035402 - global_step","clmux/_clmux-hongkong__sac_continuous_action__1__1727035402 - global_step__MIN","clmux/_clmux-hongkong__sac_continuous_action__1__1727035402 - global_step__MAX","clmux/_clmux-singapore__sac_continuous_action__1__1727035402 - global_step","clmux/_clmux-singapore__sac_continuous_action__1__1727035402 - global_step__MIN","clmux/_clmux-singapore__sac_continuous_action__1__1727035402 - global_step__MAX","clmux/_clmux-london__sac_continuous_action__1__1727035402 - global_step","clmux/_clmux-london__sac_continuous_action__1__1727035402 - global_step__MIN","clmux/_clmux-london__sac_continuous_action__1__1727035402 - global_step__MAX"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1","5100","5100","5100","5100","5100","5100","5100","5100","5100","5100","5100","5100","5100","5100","5100"
"2","5200","5200","5200","5200","5200","5200","5200","5200","5200","5200","5200","5200","5200","5200","5200"
"3","5300","5300","5300","5300","5300","5300","5300","5300","5300","5300","5300","5300","5300","5300","5300"
"4","5400","5400","5400","5400","5400","5400","5400","5400","5400","5400","5400","5400","5400","5400","5400"
"5","5500","5500","5500","5500","5500","5500","5500","5500","5500","5500","5500","5500","5500","5500","5500"
"6","5600","5600","5600","5600","5600","5600","5600","5600","5600","5600","5600","5600","5600","5600","5600"
"7","5700","5700","5700","5700","5700","5700","5700","5700","5700","5700","5700","5700","5700","5700","5700"
"8","5800","5800","5800","5800","5800","5800","5800","5800","5800","5800","5800","5800","5800","5800","5800"
"9","5900","5900","5900","5900","5900","5900","5900","5900","5900","5900","5900","5900","5900","5900","5900"
"10","6000","6000","6000","6000","6000","6000","6000","6000","6000","6000","6000","6000","6000","6000","6000"
"11","6100","6100","6100","6100","6100","6100","6100","6100","6100","6100","6100","6100","6100","6100","6100"
"12","6200","6200","6200","6200","6200","6200","6200","6200","6200","6200","6200","6200","6200","6200","6200"
"13","6300","6300","6300","6300","6300","6300","6300","6300","6300","6300","6300","6300","6300","6300","6300"
"14","6400","6400","6400","6400","6400","6400","6400","6400","6400","6400","6400","6400","6400","6400","6400"
"15","6500","6500","6500","6500","6500","6500","6500","6500","6500","6500","6500","6500","6500","6500","6500"
"16","6600","6600","6600","6600","6600","6600","6600","6600","6600","6600","6600","6600","6600","6600","6600"
"17","6700","6700","6700","6700","6700","6700","6700","6700","6700","6700","6700","6700","6700","6700","6700"
"18","6800","6800","6800","6800","6800","6800","6800","6800","6800","6800","6800","6800","6800","6800","6800"
"19","6900","6900","6900","6900","6900","6900","6900","6900","6900","6900","6900","6900","6900","6900","6900"
"20","7000","7000","7000","7000","7000","7000","7000","7000","7000","7000","7000","7000","7000","7000","7000"
"21","7100","7100","7100","7100","7100","7100","7100","7100","7100","7100","7100","7100","7100","7100","7100"
"22","7200","7200","7200","7200","7200","7200","7200","7200","7200","7200","7200","7200","7200","7200","7200"
"23","7300","7300","7300","7300","7300","7300","7300","7300","7300","7300","7300","7300","7300","7300","7300"
"24","7400","7400","7400","7400","7400","7400","7400","7400","7400","7400","7400","7400","7400","7400","7400"
"25","7500","7500","7500","7500","7500","7500","7500","7500","7500","7500","7500","7500","7500","7500","7500"
"26","7600","7600","7600","7600","7600","7600","7600","7600","7600","7600","7600","7600","7600","7600","7600"
"27","7700","7700","7700","7700","7700","7700","7700","7700","7700","7700","7700","7700","7700","7700","7700"
"28","7800","7800","7800","7800","7800","7800","7800","7800","7800","7800","7800","7800","7800","7800","7800"
"29","7900","7900","7900","7900","7900","7900","7900","7900","7900","7900","7900","7900","7900","7900","7900"
"30","8000","8000","8000","8000","8000","8000","8000","8000","8000","8000","8000","8000","8000","8000","8000"
"31","8100","8100","8100","8100","8100","8100","8100","8100","8100","8100","8100","8100","8100","8100","8100"
"32","8200","8200","8200","8200","8200","8200","8200","8200","8200","8200","8200","8200","8200","8200","8200"
"33","8300","8300","8300","8300","8300","8300","8300","8300","8300","8300","8300","8300","8300","8300","8300"
"34","8400","8400","8400","8400","8400","8400","8400","8400","8400","8400","8400","8400","8400","8400","8400"
"35","8500","8500","8500","8500","8500","8500","8500","8500","8500","8500","8500","8500","8500","8500","8500"
"36","8600","8600","8600","8600","8600","8600","8600","8600","8600","8600","8600","8600","8600","8600","8600"
"37","8700","8700","8700","8700","8700","8700","8700","8700","8700","8700","8700","8700","8700","8700","8700"
"38","8800","8800","8800","8800","8800","8800","8800","8800","8800","8800","8800","8800","8800","8800","8800"
"39","8900","8900","8900","8900","8900","8900","8900","8900","8900","8900","8900","8900","8900","8900","8900"
"40","9000","9000","9000","9000","9000","9000","9000","9000","9000","9000","9000","9000","9000","9000","9000"
"41","9100","9100","9100","9100","9100","9100","9100","9100","9100","9100","9100","9100","9100","9100","9100"
"42","9200","9200","9200","9200","9200","9200","9200","9200","9200","9200","9200","9200","9200","9200","9200"
"43","9300","9300","9300","9300","9300","9300","9300","9300","9300","9300","9300","9300","9300","9300","9300"
"44","9400","9400","9400","9400","9400","9400","9400","9400","9400","9400","9400","9400","9400","9400","9400"
"45","9500","9500","9500","9500","9500","9500","9500","9500","9500","9500","9500","9500","9500","9500","9500"
"46","9600","9600","9600","9600","9600","9600","9600","9600","9600","9600","9600","9600","9600","9600","9600"
"47","9700","9700","9700","9700","9700","9700","9700","9700","9700","9700","9700","9700","9700","9700","9700"
"48","9800","9800","9800","9800","9800","9800","9800","9800","9800","9800","9800","9800","9800","9800","9800"
"49","9900","9900","9900","9900","9900","9900","9900","9900","9900","9900","9900","9900","9900","9900","9900"
"50","10000","10000","10000","10000","10000","10000","10000","10000","10000","10000","10000","10000","10000","10000","10000"
"51","10100","10100","10100","10100","10100","10100","10100","10100","10100","10100","10100","10100","10100","10100","10100"
"52","10200","10200","10200","10200","10200","10200","10200","10200","10200","10200","10200","10200","10200","10200","10200"
"53","10300","10300","10300","10300","10300","10300","10300","10300","10300","10300","10300","10300","10300","10300","10300"
"54","10400","10400","10400","10400","10400","10400","10400","10400","10400","10400","10400","10400","10400","10400","10400"
"55","10500","10500","10500","10500","10500","10500","10500","10500","10500","10500","10500","10500","10500","10500","10500"
"56","10600","10600","10600","10600","10600","10600","10600","10600","10600","10600","10600","10600","10600","10600","10600"
"57","10700","10700","10700","10700","10700","10700","10700","10700","10700","10700","10700","10700","10700","10700","10700"
"58","10800","10800","10800","10800","10800","10800","10800","10800","10800","10800","10800","10800","10800","10800","10800"
"59","10900","10900","10900","10900","10900","10900","10900","10900","10900","10900","10900","10900","10900","10900","10900"
"60","11000","11000","11000","11000","11000","11000","11000","11000","11000","11000","11000","11000","11000","11000","11000"
"61","11100","11100","11100","11100","11100","11100","11100","11100","11100","11100","11100","11100","11100","11100","11100"
"62","11200","11200","11200","11200","11200","11200","11200","11200","11200","11200","11200","11200","11200","11200","11200"
"63","11300","11300","11300","11300","11300","11300","11300","11300","11300","11300","11300","11300","11300","11300","11300"
"64","11400","11400","11400","11400","11400","11400","11400","11400","11400","11400","11400","11400","11400","11400","11400"
"65","11500","11500","11500","11500","11500","11500","11500","11500","11500","11500","11500","11500","11500","11500","11500"
"66","11600","11600","11600","11600","11600","11600","11600","11600","11600","11600","11600","11600","11600","11600","11600"
"67","11700","11700","11700","11700","11700","11700","11700","11700","11700","11700","11700","11700","11700","11700","11700"
"68","11800","11800","11800","11800","11800","11800","11800","11800","11800","11800","11800","11800","11800","11800","11800"
"69","11900","11900","11900","11900","11900","11900","11900","11900","11900","11900","11900","11900","11900","11900","11900"
"70","12000","12000","12000","12000","12000","12000","12000","12000","12000","12000","12000","12000","12000","12000","12000"
"71","12100","12100","12100","12100","12100","12100","12100","12100","12100","12100","12100","12100","12100","12100","12100"
"72","12200","12200","12200","12200","12200","12200","12200","12200","12200","12200","12200","12200","12200","12200","12200"
"73","12300","12300","12300","12300","12300","12300","12300","12300","12300","12300","12300","12300","12300","12300","12300"
"74","12400","12400","12400","12400","12400","12400","12400","12400","12400","12400","12400","12400","12400","12400","12400"
"75","12500","12500","12500","12500","12500","12500","12500","12500","12500","12500","12500","12500","12500","12500","12500"
"76","12600","12600","12600","12600","12600","12600","12600","12600","12600","12600","12600","12600","12600","12600","12600"
