"Step","clmux/clmux-london__dqn__1__1727071638 - charts/episodic_return","clmux/clmux-london__dqn__1__1727071638 - charts/episodic_return__MIN","clmux/clmux-london__dqn__1__1727071638 - charts/episodic_return__MAX","clmux/clmux-hongkong__dqn__1__1727071638 - charts/episodic_return","clmux/clmux-hongkong__dqn__1__1727071638 - charts/episodic_return__MIN","clmux/clmux-hongkong__dqn__1__1727071638 - charts/episodic_return__MAX","clmux/clmux-newyork__dqn__1__1727071638 - charts/episodic_return","clmux/clmux-newyork__dqn__1__1727071638 - charts/episodic_return__MIN","clmux/clmux-newyork__dqn__1__1727071638 - charts/episodic_return__MAX","clmux/clmux-singapore__dqn__1__1727071638 - charts/episodic_return","clmux/clmux-singapore__dqn__1__1727071638 - charts/episodic_return__MIN","clmux/clmux-singapore__dqn__1__1727071638 - charts/episodic_return__MAX","clmux/clmux-london__qlearning__1__1727071637 - charts/episodic_return","clmux/clmux-london__qlearning__1__1727071637 - charts/episodic_return__MIN","clmux/clmux-london__qlearning__1__1727071637 - charts/episodic_return__MAX","clmux/clmux-newyork__qlearning__1__1727071637 - charts/episodic_return","clmux/clmux-newyork__qlearning__1__1727071637 - charts/episodic_return__MIN","clmux/clmux-newyork__qlearning__1__1727071637 - charts/episodic_return__MAX","clmux/clmux-beijing__dqn__1__1727071638 - charts/episodic_return","clmux/clmux-beijing__dqn__1__1727071638 - charts/episodic_return__MIN","clmux/clmux-beijing__dqn__1__1727071638 - charts/episodic_return__MAX","clmux/clmux-singapore__qlearning__1__1727071637 - charts/episodic_return","clmux/clmux-singapore__qlearning__1__1727071637 - charts/episodic_return__MIN","clmux/clmux-singapore__qlearning__1__1727071637 - charts/episodic_return__MAX","clmux/clmux-beijing__qlearning__1__1727071637 - charts/episodic_return","clmux/clmux-beijing__qlearning__1__1727071637 - charts/episodic_return__MIN","clmux/clmux-beijing__qlearning__1__1727071637 - charts/episodic_return__MAX","clmux/clmux-hongkong__qlearning__1__1727071637 - charts/episodic_return","clmux/clmux-hongkong__qlearning__1__1727071637 - charts/episodic_return__MIN","clmux/clmux-hongkong__qlearning__1__1727071637 - charts/episodic_return__MAX"
"1","","","","","","","","","","","","","-232033.828125","-232033.828125","-232033.828125","-240407.953125","-240407.953125","-240407.953125","","","","-198395.171875","-198395.171875","-198395.171875","-260472.46875","-260472.46875","-260472.46875","-161824","-161824","-161824"
"2","","","","","","","","","","","","","-232131","-232131","-232131","-239743.296875","-239743.296875","-239743.296875","","","","-198224.34375","-198224.34375","-198224.34375","-259257.671875","-259257.671875","-259257.671875","-161159.484375","-161159.484375","-161159.484375"
"3","","","","","","","","","","","","","-231923.890625","-231923.890625","-231923.890625","-238572.328125","-238572.328125","-238572.328125","","","","-198269.765625","-198269.765625","-198269.765625","-258749.15625","-258749.15625","-258749.15625","-160618.21875","-160618.21875","-160618.21875"
"4","","","","","","","","","","","","","-230812.484375","-230812.484375","-230812.484375","-238693.21875","-238693.21875","-238693.21875","","","","-197858.21875","-197858.21875","-197858.21875","-257125","-257125","-257125","-160688.0625","-160688.0625","-160688.0625"
"5","","","","","","","","","","","","","-231223.90625","-231223.90625","-231223.90625","-238813.671875","-238813.671875","-238813.671875","","","","-197541.734375","-197541.734375","-197541.734375","-258108.609375","-258108.609375","-258108.609375","-160648.46875","-160648.46875","-160648.46875"
"6","","","","","","","","","","","","","-228721.671875","-228721.671875","-228721.671875","-235578.03125","-235578.03125","-235578.03125","","","","-196475.390625","-196475.390625","-196475.390625","-253845.046875","-253845.046875","-253845.046875","-160120.765625","-160120.765625","-160120.765625"
"7","","","","","","","","","","","","","-229827.015625","-229827.015625","-229827.015625","-237259.03125","-237259.03125","-237259.03125","","","","-196411.515625","-196411.515625","-196411.515625","-256448.78125","-256448.78125","-256448.78125","-160245.328125","-160245.328125","-160245.328125"
"8","","","","","","","","","","","","","-228713.53125","-228713.53125","-228713.53125","-235941.6875","-235941.6875","-235941.6875","","","","-195779.0625","-195779.0625","-195779.0625","-254730.734375","-254730.734375","-254730.734375","-159979.84375","-159979.84375","-159979.84375"
"9","","","","","","","","","","","","","-228211.8125","-228211.8125","-228211.8125","-235598.265625","-235598.265625","-235598.265625","","","","-196078.59375","-196078.59375","-196078.59375","-253942.609375","-253942.609375","-253942.609375","-160085.109375","-160085.109375","-160085.109375"
"10","","","","","","","","","","","","","-228425.828125","-228425.828125","-228425.828125","-235514.875","-235514.875","-235514.875","","","","-195205.875","-195205.875","-195205.875","-253558.265625","-253558.265625","-253558.265625","-159481.84375","-159481.84375","-159481.84375"
