"Step","clmux/_clmux-newyork__sac_continuous_action__1__1727035402 - charts/episodic_return","clmux/_clmux-newyork__sac_continuous_action__1__1727035402 - charts/episodic_return__MIN","clmux/_clmux-newyork__sac_continuous_action__1__1727035402 - charts/episodic_return__MAX","clmux/_clmux-beijing__sac_continuous_action__1__1727035402 - charts/episodic_return","clmux/_clmux-beijing__sac_continuous_action__1__1727035402 - charts/episodic_return__MIN","clmux/_clmux-beijing__sac_continuous_action__1__1727035402 - charts/episodic_return__MAX","clmux/_clmux-hongkong__sac_continuous_action__1__1727035402 - charts/episodic_return","clmux/_clmux-hongkong__sac_continuous_action__1__1727035402 - charts/episodic_return__MIN","clmux/_clmux-hongkong__sac_continuous_action__1__1727035402 - charts/episodic_return__MAX","clmux/_clmux-singapore__sac_continuous_action__1__1727035402 - charts/episodic_return","clmux/_clmux-singapore__sac_continuous_action__1__1727035402 - charts/episodic_return__MIN","clmux/_clmux-singapore__sac_continuous_action__1__1727035402 - charts/episodic_return__MAX","clmux/_clmux-london__sac_continuous_action__1__1727035402 - charts/episodic_return","clmux/_clmux-london__sac_continuous_action__1__1727035402 - charts/episodic_return__MIN","clmux/_clmux-london__sac_continuous_action__1__1727035402 - charts/episodic_return__MAX"
"126","-198870.203125","-198870.203125","-198870.203125","-200010.171875","-200010.171875","-200010.171875","-157465.875","-157465.875","-157465.875","-198073.203125","-198073.203125","-198073.203125","-196757.71875","-196757.71875","-196757.71875"
"302","-219570.890625","-219570.890625","-219570.890625","-219409.390625","-219409.390625","-219409.390625","-128116.875","-128116.875","-128116.875","-152020.140625","-152020.140625","-152020.140625","-238142.96875","-238142.96875","-238142.96875"
"478","-207517.265625","-207517.265625","-207517.265625","-193427.84375","-193427.84375","-193427.84375","-156680.71875","-156680.71875","-156680.71875","-158196.578125","-158196.578125","-158196.578125","-144353.421875","-144353.421875","-144353.421875"
"654","-153813.453125","-153813.453125","-153813.453125","-139973.6875","-139973.6875","-139973.6875","-183411.078125","-183411.078125","-183411.078125","-245667.28125","-245667.28125","-245667.28125","-134532.3125","-134532.3125","-134532.3125"
"830","-153015.21875","-153015.21875","-153015.21875","-166762.59375","-166762.59375","-166762.59375","-183131.6875","-183131.6875","-183131.6875","-140160.671875","-140160.671875","-140160.671875","-134407.09375","-134407.09375","-134407.09375"
"1007","-152830.734375","-152830.734375","-152830.734375","-139574.390625","-139574.390625","-139574.390625","-186758.375","-186758.375","-186758.375","-137504.0625","-137504.0625","-137504.0625","-135023.171875","-135023.171875","-135023.171875"
"1183","-153322.90625","-153322.90625","-153322.90625","-139360.328125","-139360.328125","-139360.328125","-138906.921875","-138906.921875","-138906.921875","-137378.03125","-137378.03125","-137378.03125","-164526.0625","-164526.0625","-164526.0625"
"1359","-153764.453125","-153764.453125","-153764.453125","-139207.1875","-139207.1875","-139207.1875","-126333.734375","-126333.734375","-126333.734375","-136042","-136042","-136042","-138913.90625","-138913.90625","-138913.90625"
"1535","-153843.671875","-153843.671875","-153843.671875","-139695.53125","-139695.53125","-139695.53125","-120168.7109375","-120168.7109375","-120168.7109375","-135376.4375","-135376.4375","-135376.4375","-143104.109375","-143104.109375","-143104.109375"
"1711","-153724.765625","-153724.765625","-153724.765625","-139533.859375","-139533.859375","-139533.859375","-120059.3359375","-120059.3359375","-120059.3359375","-135007.328125","-135007.328125","-135007.328125","-141094.921875","-141094.921875","-141094.921875"
"1887","-151868.34375","-151868.34375","-151868.34375","-139439.609375","-139439.609375","-139439.609375","-121243.0390625","-121243.0390625","-121243.0390625","-134711.46875","-134711.46875","-134711.46875","-144443.5625","-144443.5625","-144443.5625"
"2064","-153070.015625","-153070.015625","-153070.015625","-139256.1875","-139256.1875","-139256.1875","-125576.3828125","-125576.3828125","-125576.3828125","-134269.203125","-134269.203125","-134269.203125","-140506.171875","-140506.171875","-140506.171875"
"2240","-151843.296875","-151843.296875","-151843.296875","-139406.8125","-139406.8125","-139406.8125","-120969.1328125","-120969.1328125","-120969.1328125","-134442.578125","-134442.578125","-134442.578125","-135638","-135638","-135638"
"2416","-159418.1875","-159418.1875","-159418.1875","-139292.28125","-139292.28125","-139292.28125","-120555.5546875","-120555.5546875","-120555.5546875","-134537.734375","-134537.734375","-134537.734375","-135630.8125","-135630.8125","-135630.8125"
"2592","-161322.359375","-161322.359375","-161322.359375","-138878.546875","-138878.546875","-138878.546875","-119884.078125","-119884.078125","-119884.078125","-134504.953125","-134504.953125","-134504.953125","-133913.734375","-133913.734375","-133913.734375"
"2768","-157325.34375","-157325.34375","-157325.34375","-138530.59375","-138530.59375","-138530.59375","-125009.859375","-125009.859375","-125009.859375","-134434.078125","-134434.078125","-134434.078125","-134260.453125","-134260.453125","-134260.453125"
"2945","-154653.3125","-154653.3125","-154653.3125","-138948.25","-138948.25","-138948.25","-131974.796875","-131974.796875","-131974.796875","-134380.8125","-134380.8125","-134380.8125","-133916.546875","-133916.546875","-133916.546875"
"3121","-152895.65625","-152895.65625","-152895.65625","-139343.015625","-139343.015625","-139343.015625","-133951.546875","-133951.546875","-133951.546875","-134330.84375","-134330.84375","-134330.84375","-132884.921875","-132884.921875","-132884.921875"
"3297","-161900.3125","-161900.3125","-161900.3125","-139159.578125","-139159.578125","-139159.578125","-136028.25","-136028.25","-136028.25","-134281.6875","-134281.6875","-134281.6875","-133954.3125","-133954.3125","-133954.3125"
"3473","-154632.234375","-154632.234375","-154632.234375","-138826.359375","-138826.359375","-138826.359375","-122304.8828125","-122304.8828125","-122304.8828125","-134277.21875","-134277.21875","-134277.21875","-170073.625","-170073.625","-170073.625"
"3649","-154366.5625","-154366.5625","-154366.5625","-138548.84375","-138548.84375","-138548.84375","-121368.984375","-121368.984375","-121368.984375","-134247.125","-134247.125","-134247.125","-250365.234375","-250365.234375","-250365.234375"
"3825","-154703.625","-154703.625","-154703.625","-138578.921875","-138578.921875","-138578.921875","-120776.7421875","-120776.7421875","-120776.7421875","-134254.796875","-134254.796875","-134254.796875","-252368.109375","-252368.109375","-252368.109375"
"4002","-153416.328125","-153416.328125","-153416.328125","-138984.921875","-138984.921875","-138984.921875","-120853.21875","-120853.21875","-120853.21875","-134228.21875","-134228.21875","-134228.21875","-252541.9375","-252541.9375","-252541.9375"
"4178","-154484.703125","-154484.703125","-154484.703125","-139213.984375","-139213.984375","-139213.984375","-121387.3515625","-121387.3515625","-121387.3515625","-134216.59375","-134216.59375","-134216.59375","-252483.015625","-252483.015625","-252483.015625"
"4354","-154120.328125","-154120.328125","-154120.328125","-139085.015625","-139085.015625","-139085.015625","-121136.109375","-121136.109375","-121136.109375","-134207.265625","-134207.265625","-134207.265625","-252384.984375","-252384.984375","-252384.984375"
"4530","-152913.25","-152913.25","-152913.25","-138984.296875","-138984.296875","-138984.296875","-120527.6953125","-120527.6953125","-120527.6953125","-134182.875","-134182.875","-134182.875","-211790.71875","-211790.71875","-211790.71875"
"4706","-155986.953125","-155986.953125","-155986.953125","-140903.171875","-140903.171875","-140903.171875","-120437.1796875","-120437.1796875","-120437.1796875","-134183.34375","-134183.34375","-134183.34375","-134012.78125","-134012.78125","-134012.78125"
"4883","-160156.65625","-160156.65625","-160156.65625","-138908.953125","-138908.953125","-138908.953125","-120783.0703125","-120783.0703125","-120783.0703125","-134197.265625","-134197.265625","-134197.265625","-133332","-133332","-133332"
